VID;household_type;heating_type;survey_WP_type;survey_WP_age
8317505;NA;NA;NA;NA
3897314;multi-family house;heat pump;geothermal;<10 years
8065776;NA;NA;NA;NA
3198290;single family house;heat pump;geothermal;<10 years
6690331;teraced house;heat pump;air;20-30 years
4927996;teraced house;heat pump;air;20-30 years
4929575;NA;NA;NA;NA
6521501;NA;NA;NA;NA
7761264;NA;NA;NA;NA
1638564;NA;NA;NA;NA
1000317;NA;NA;NA;NA
2401390;NA;NA;NA;NA
2897653;NA;NA;NA;NA
7477350;NA;NA;NA;NA
6911545;NA;NA;NA;NA
1701213;NA;NA;NA;NA
7863319;NA;NA;NA;NA
4118908;single family house;electric heating;NA;NA
4399830;NA;NA;NA;NA
4013777;NA;NA;NA;NA
3228927;NA;NA;NA;NA
9442332;NA;NA;NA;NA
1004851;NA;NA;NA;NA
3816031;multi-family house;heat pump;don't know;don't know
9879968;NA;NA;NA;NA
8480174;NA;NA;NA;NA
3058354;NA;NA;NA;NA
6003551;NA;NA;NA;NA
9096628;single family house;heat pump;air;10-20 years
9153911;NA;NA;NA;NA
9491167;semidetached house;heat pump;geothermal;10-20 years
5124141;single family house;heat pump;geothermal;10-20 years
7996582;NA;NA;NA;NA
5108817;single family house;electric heating;NA;NA
5568729;NA;NA;NA;NA
4552017;NA;NA;NA;NA
8555621;single family house;heat pump;air;<10 years
9720513;NA;NA;NA;NA
1083091;NA;NA;NA;NA
1924222;NA;NA;NA;NA
7579211;NA;NA;NA;NA
8924397;NA;NA;NA;NA
7933824;NA;NA;NA;NA
5204860;single family house;heat pump;air;<10 years
9295075;multi-family house;electric heating;NA;NA
5793474;NA;NA;NA;NA
4348066;NA;NA;NA;NA
4989725;NA;NA;NA;NA
7307115;NA;NA;NA;NA
5140976;multi-family house;electric heating;NA;NA
9776801;NA;NA;NA;NA
2506533;semidetached house;electric heating;NA;NA
2225514;NA;NA;NA;NA
6896025;NA;NA;NA;NA
8083310;NA;NA;NA;NA
1693822;NA;NA;NA;NA
1059352;NA;NA;NA;NA
2049014;NA;NA;NA;NA
1444960;NA;NA;NA;NA
8891099;NA;NA;NA;NA
5086115;multi-family house;heat pump;geothermal;<10 years
2636060;multi-family house;electric heating;NA;NA
1469710;NA;NA;NA;NA
8939828;multi-family house;other;NA;NA
3785346;single family house;electric heating;NA;NA
1928936;single family house;electric heating;NA;NA
4182015;NA;NA;NA;NA
1513097;single family house;electric heating;NA;NA
8871275;NA;NA;NA;NA
2787323;NA;NA;NA;NA
5560323;NA;NA;NA;NA
5668124;NA;NA;NA;NA
3541772;single family house;electric heating;NA;NA
6253458;NA;NA;NA;NA
4116129;single family house;heat pump;geothermal;<10 years
3895618;NA;NA;NA;NA
2684572;NA;NA;NA;NA
3387846;single family house;other;NA;NA
6572263;multi-family house;heat pump;geothermal;<10 years
3420579;NA;NA;NA;NA
3709547;NA;NA;NA;NA
4950414;NA;NA;NA;NA
9682663;multi-family house;heat pump;geothermal;<10 years
8337876;NA;NA;NA;NA
4183752;NA;NA;NA;NA
2805467;NA;NA;NA;NA
8104383;NA;NA;NA;NA
8189974;NA;NA;NA;NA
