ID;PLZ;Strasse;Betreff;Cons_2011;Days_2011;Cons_2012;Days_2012;Cons_2013;Days_2013;FilterNonHousehold;Portal;pPoints;pEarnedPoints;pHouseholdType;pMainHeatingType;pWaterHeatingType;pLivingAreaM2;pHouseholdMembers;pCreated;pLastVisited
138;8200;Bodenseestraße;2.OG links;1789;272;3269;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
139;8200;Bodenseestraße;2.OG Mitte;0;0;1418;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
140;8200;Bodenseestraße;2.OG Mitte;381;152;0;0;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
141;8200;Bodenseestraße;2.OG Mitte;680;211;0;0;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
142;8200;Bodenseestraße;2.OG rechts;4801;364;6091;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
143;8200;Bodenseestraße;1.OG Mitte;0;0;1936;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
144;8200;Bodenseestraße;1.OG Mitte;1546;364;0;0;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
145;8200;Bodenseestraße;1.OG rechts;959;364;1017;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
146;8200;Bodenseestraße;1.OG links;0;0;4297;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
147;8200;Bodenseestraße;1.OG links;0;0;0;0;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
148;8200;Bodenseestraße;1.OG links;678;182;0;0;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
149;8200;Bodenseestraße;1.OG links;630;181;0;0;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
150;8200;Bodenseestraße;EG Mitte;959;364;1110;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
151;8200;Bodenseestraße;EG rechts;2147;333;2485;456;0;0;0;1;387;387;appartment;gas;electric;120;2;03.02.13 10:39;12.01.14 11:07
152;8200;Bodenseestraße;EG links;0;0;2176;333;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
153;8200;Bodenseestraße;EG links;2998;318;897;122;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
154;8200;Bodenseestraße;EFH Strom;4367;364;4963;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
155;8200;Bodenseestraße;EFH Strom;4780;364;5786;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
156;8200;Bodenseestraße;EFH Strom;5850;333;9450;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
157;8200;Bodenseestraße;2.OG links;2499;364;3006;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
158;8200;Bodenseestraße;2.OG rechts;9152;364;10640;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
159;8200;Bodenseestraße;1.OG links;2344;364;2718;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
160;8200;Bodenseestraße;1.OG rechts;3902;364;4506;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
161;8200;Bodenseestraße;EG rechts;0;0;6415;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
162;8200;Bodenseestraße;EG rechts;4568;334;0;0;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
163;8200;Bodenseestraße;EG rechts;124;29;0;0;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
164;8200;Bodenseestraße;EG links;4184;364;4787;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
165;8200;Bodenseestraße;Allgemeinstrom;5971;364;9812;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
166;8200;Bodenseestraße;EFH Strom;3471;364;3746;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
167;8200;Bodenseestraße;EFH Strom;2383;364;2602;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
168;8200;Bodenseestraße;2.OG Whg;1339;364;1291;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
169;8200;Bodenseestraße;EG Whg;1849;364;1627;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
170;8200;Bodenseestraße;EFH Strom;1894;364;2848;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
171;8400;Brünnelihöhestrasse;EG, Passione Boutique;NA;0;NA;0;NA;2;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
172;3600;Dättnauerstrasse;;NA;NA;42;6;NA;NA;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
173;8404;Frauenfeldweg;EG/L;238;194;466;362;427;366;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
174;3604;Geisshofweg;;3984;365;4083;365;3821;365;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
175;3604;Geisshofweg;;322;365;NA;NA;NA;NA;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
176;8405;Gemmistrasse;OG 1/R;1604;194;2404;265;NA;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
177;8200;Gemmistrasse;Whg A33 Strom;837;303;1496;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
178;8400;Guyerweg;OG 5/3;NA;0;105;94;NA;0;1;0;NA;NA;NA;NA;NA;0;0;NA;NA
179;5022;Guyerweg;NA;358;87;0;0;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
180;5000;Hauptplatz;NA;6571;365;5946;366;5677;365;1;0;NA;NA;NA;NA;NA;0;0;NA;NA
181;8804;Hintersteig;OG 1/L;NA;0;NA;0;59;32;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
182;8200;Johannes-Hirt-Strasse;EFH Strom;6685;364;6841;456;0;0;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
183;8400;Kirchgasse;OG 3/309;NA;0;10;35;NA;0;1;0;NA;NA;NA;NA;NA;0;0;NA;NA
184;5033;Kirchplatz;NA;2780;365;6885;366;5478;365;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
185;5035;Konradstrasse;NA;0;0;0;0;984;214;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
186;5408;Konradstrasse;;718;365;774;365;387;365;0;0;NA;NA;NA;NA;NA;0;0;NA;NA
